Title:,"Time Series, Area-Averaged of Daily maximum air temperature daily 0.125 deg. [NCA-LDAS Model (daily)"
User Start Date:,2016-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-108.237,27.6681,-104.8752,31.821"
Data Bounding Box:,"-108.188,27.6875,-104.938,31.8125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2016-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-108.237,27.6681,-104.8752,31.821&data=NCALDAS_NOAH0125_D_2_0_Tair_f_min%2CNCALDAS_NOAH0125_D_2_0_Tair_f_max%2CNLDAS_FORA0125_H_2_0_Rainf%2CM2TMNXSLV_5_12_4_U10M%2CM2TMNXSLV_5_12_4_V10M&portal=GIOVANNI&format=json"
Fill Value (NCALDAS_NOAH0125_D_2_0_Tair_f_max):, -9999

time, NCALDAS_NOAH0125_D_2_0_Tair_f_max
2016-01-01,283.858124
2016-01-02,283.234985
2016-01-03,285.429474
2016-01-04,285.747925
2016-01-05,285.413574
2016-01-06,284.491425
2016-01-07,284.624176
2016-01-08,282.591766
2016-01-09,279.996307
2016-01-10,281.922821
2016-01-11,280.685364
2016-01-12,281.576355
2016-01-13,283.812225
2016-01-14,286.481689
2016-01-15,286.904114
2016-01-16,286.282104
2016-01-17,288.168121
2016-01-18,288.500305
2016-01-19,290.303345
2016-01-20,290.655273
2016-01-21,288.959686
2016-01-22,287.609344
2016-01-23,290.725891
2016-01-24,291.095398
2016-01-25,289.056976
2016-01-26,286.435211
2016-01-27,282.855896
2016-01-28,286.791321
2016-01-29,291.032135
2016-01-30,291.477356
2016-01-31,291.045837
2016-02-01,289.79071
2016-02-02,283.341064
2016-02-03,281.411041
2016-02-04,281.884857
2016-02-05,284.719421
2016-02-06,285.580292
2016-02-07,290.10318
2016-02-08,289.395721
2016-02-09,289.491241
2016-02-10,291.660278
2016-02-11,293.020355
2016-02-12,293.470062
2016-02-13,294.414032
2016-02-14,294.518768
2016-02-15,293.579193
2016-02-16,294.338654
2016-02-17,297.428406
2016-02-18,298.476837
2016-02-19,298.016235
2016-02-20,297.768524
2016-02-21,296.983124
2016-02-22,296.322876
2016-02-23,294.089478
2016-02-24,289.641052
2016-02-25,291.752075
2016-02-26,292.738037
2016-02-27,294.790161
2016-02-28,296.03772
2016-02-29,296.670197
2016-03-01,296.665985
2016-03-02,298.229767
2016-03-03,297.754028
2016-03-04,298.108032
2016-03-05,297.322662
2016-03-06,295.858398
2016-03-07,294.509247
2016-03-08,290.390503
2016-03-09,288.489075
2016-03-10,291.375641
2016-03-11,293.049927
2016-03-12,294.597168
2016-03-13,294.811462
2016-03-14,297.387146
2016-03-15,297.014862
2016-03-16,297.909088
2016-03-17,296.76767
2016-03-18,296.806091
2016-03-19,296.08252
2016-03-20,292.933441
2016-03-21,296.167267
2016-03-22,298.009308
2016-03-23,296.303955
2016-03-24,292.917328
2016-03-25,294.74826
2016-03-26,295.093964
2016-03-27,294.871887
2016-03-28,297.040558
2016-03-29,296.94754
2016-03-30,294.764435
2016-03-31,291.328827
2016-04-01,289.950958
2016-04-02,289.624756
2016-04-03,294.325531
2016-04-04,298.409332
2016-04-05,300.862244
2016-04-06,299.60614
2016-04-07,299.180786
2016-04-08,298.037689
2016-04-09,298.142151
2016-04-10,296.908417
2016-04-11,295.625061
2016-04-12,294.855103
2016-04-13,296.349823
2016-04-14,299.540436
2016-04-15,298.977509
2016-04-16,297.214264
2016-04-17,294.002258
2016-04-18,296.453796
2016-04-19,298.421173
2016-04-20,299.869965
2016-04-21,300.797028
2016-04-22,299.679443
2016-04-23,299.540283
2016-04-24,298.996521
2016-04-25,298.553101
2016-04-26,297.128387
2016-04-27,297.230469
2016-04-28,298.347534
2016-04-29,296.687317
2016-04-30,296.314484
2016-05-01,296.956146
2016-05-02,296.968903
2016-05-03,299.317474
2016-05-04,299.994873
2016-05-05,301.463898
2016-05-06,300.792145
2016-05-07,300.36084
2016-05-08,298.69165
2016-05-09,297.588379
2016-05-10,299.998749
2016-05-11,302.024719
2016-05-12,303.567383
2016-05-13,303.365692
2016-05-14,303.148926
2016-05-15,302.421783
2016-05-16,301.121613
2016-05-17,300.339844
2016-05-18,299.535858
2016-05-19,298.660156
2016-05-20,301.059418
2016-05-21,301.659119
2016-05-22,301.503601
2016-05-23,302.369476
2016-05-24,301.326996
2016-05-25,302.272339
2016-05-26,301.47287
2016-05-27,299.952667
2016-05-28,301.772247
2016-05-29,301.306183
2016-05-30,302.435669
2016-05-31,301.818024
2016-06-01,300.131134
2016-06-02,301.159424
2016-06-03,304.870667
2016-06-04,304.673828
2016-06-05,304.22171
2016-06-06,305.802826
2016-06-07,305.798676
2016-06-08,305.330933
2016-06-09,305.379822
2016-06-10,305.511993
2016-06-11,305.018982
2016-06-12,305.689362
2016-06-13,305.651978
2016-06-14,306.208923
2016-06-15,307.106995
2016-06-16,306.459106
2016-06-17,307.309387
2016-06-18,308.960907
2016-06-19,308.179047
2016-06-20,306.112457
2016-06-21,305.502838
2016-06-22,307.921661
2016-06-23,307.667542
2016-06-24,307.057739
2016-06-25,306.332916
2016-06-26,305.776398
2016-06-27,304.8284
2016-06-28,302.80365
2016-06-29,303.297241
2016-06-30,303.738403
2016-07-01,303.460815
2016-07-02,303.316956
2016-07-03,305.4151
2016-07-04,307.328064
2016-07-05,307.758057
2016-07-06,307.049988
2016-07-07,306.090485
2016-07-08,305.726013
2016-07-09,305.985077
2016-07-10,307.209045
2016-07-11,307.105652
2016-07-12,307.020508
2016-07-13,307.959839
2016-07-14,308.974182
2016-07-15,308.251312
2016-07-16,307.003113
2016-07-17,306.141602
2016-07-18,305.526459
2016-07-19,305.392914
2016-07-20,305.45282
2016-07-21,306.315765
2016-07-22,306.638794
2016-07-23,307.329407
2016-07-24,307.380127
2016-07-25,306.671204
2016-07-26,306.08252
2016-07-27,305.451385
2016-07-28,304.724457
2016-07-29,304.191193
2016-07-30,303.451416
2016-07-31,303.100647
2016-08-01,303.557953
2016-08-02,304.381866
2016-08-03,304.131012
2016-08-04,304.951813
